month,day,names
1,1,Nov├Ż rok
1,2,Karina
1,3,Radmila
1,4,Diana
1,5,Andrea
1,6,T┼Öi kr├ílov├ę / Ka┼ípar, Melichar, Baltazar
1,7,Vilma
1,8,─îestm├şr
1,9,Vladan
1,10,B┼Öetislav
1,11,Bohdana
1,12,Pravoslav
1,13,Edita
1,14,Radovan
1,15,Alexandr
1,16,Ctirad
1,17,Drahoslav
1,18,Vladislav
1,19,Doubravka
1,20,Ilona
1,21,B─Ťla
1,22,Slavom├şr
1,23,Zden─Ťk
1,24,Milena
1,25,M├íty├í┼í
1,26,Zora
1,27,Ingrid
1,28,Otokar
1,29,Zdislava
1,30,Robin
1,31,Marika
2,1,Hynek
2,2,Nela
2,3,Bla┼żej
2,4,Jarmila
2,5,Dobromila
2,6,Vanda
2,7,Veronika
2,8,Milada
2,9,Apolena
2,10,Mojm├şr
2,11,Bo┼żena
2,12,Slav─Ťna
2,13,V─Ťnceslav
2,14,Valent├Żn
2,15,Gabriela
2,16,Ljuba
2,17,Miloslava
2,18,Gizela
2,19,Patrik
2,20,Old┼Öich
2,21,Lenka
2,22,Petr
2,23,Svatopluk
2,24,Mat─Ťj
2,25,Liliana
2,26,Dorota
2,27,Alexandr
2,28,Lum├şr
2,29,Horym├şr
3,1,Bed┼Öich
3,2,Ane┼żka
3,3,Kamil
3,4,Stela
3,5,Kazim├şr
3,6,Miroslav
3,7,Tom├í┼í
3,8,Gabriela
3,9,Franti┼íka
3,10,Viktorie
3,11,And─Ťla
3,12,Ria
3,13,R┼»┼żena
3,14,Matylda
3,15,Ida
3,16,Elena / Herbert
3,17,Vlastimil
3,18,Eduard
3,19,Josef
3,20,Svobod─Ťna
3,21,Radek
3,22,Luk├í┼í
3,23,Ond┼Öej
3,24,Gabriel
3,25,Mari├ín
3,26,Emanuel
3,27,Dita
3,28,So┼ła
3,29,Ta┼ą├ína
3,30,Arno┼ít
3,31,Kvido
4,1,Hugo
4,2,Erika
4,3,Richard
4,4,Ivana
4,5,Miroslava
4,6,Vendula
4,7,He┼Öman / Herm├şna
4,8,Ema
4,9,Du┼ían
4,10,Darja
4,11,Izabela
4,12,Julie
4,13,Ale┼í
4,14,Vincenc
4,15,Anast├ízie
4,16,Irena
4,17,Rudolf
4,18,Val├ęrie
4,19,Rostislav
4,20,Marcela
4,21,Alexandra
4,22,Ev┼ż├ęnie
4,23,Vojt─Ťch
4,24,Ji┼Ö├ş
4,25,Marek
4,26,Oto
4,27,Jaroslav
4,28,Vlastislav
4,29,Robert
4,30,Blahoslav
5,1,Sv├ítek pr├íce
5,2,Zikmund
5,3,Alexej
5,4,Kv─Ľtoslav
5,5,Klaudie
5,6,Radoslav
5,7,Stanislav
5,8,Den v├şt─Ťzstv├ş
5,9,Ctibor
5,10,Bla┼żena
5,11,Svatava
5,12,Pankr├íc
5,13,Serv├íc
5,14,Bonif├íc
5,15,┼Żofie
5,16,P┼Öemysl
5,17,Aneta
5,18,Nata┼ía
5,19,Ivo
5,20,Zby┼íek
5,21,Monika
5,22,Emil
5,23,Vladim├şr
5,24,Jana
5,25,Viola
5,26,Filip
5,27,Valdemar
5,28,Vil├ęm
5,29,Maxim
5,30,Ferdinand
5,31,Kamila
6,1,Laura
6,2,Jarmil
6,3,Tamara
6,4,Dalibor
6,5,Dobroslav
6,6,Norbert
6,7,Ivana
6,8,Medard
6,9,Stanislava
6,10,Gita
6,11,Bruno
6,12,Antonie
6,13,Anton├şn
6,14,Roland
6,15,V├şt
6,16,Zbyn─Ťk
6,17,Adolf
6,18,Milan
6,19,Leo┼í
6,20,Kv─Ťta
6,21,Alois
6,22,Pavla
6,23,Zde┼łka
6,24,Jan
6,25,Adriana
6,26,┼á├írka
6,27,Ladislav
6,28,Lu┼ą╠îa
6,29,Petr a Pavel
6,30,┼áimon
7,1,Jaroslava
7,2,Patricie
7,3,Radom├şr
7,4,Prokop
7,5,Cyril a Metod─Ťj
7,6,Jan Hus
7,7,Bohuslava
7,8,Nora
7,9,Drahoslava
7,10,Libu┼íe / Am├ílie
7,11,Olga
7,12,Bos╠îena
7,13,Mark├ęta
7,14,Karol├şna
7,15,Jind┼Öich
7,16,Lubo┼í
7,17,Martina
7,18,Drahom├şra
7,19,─îen─Ťk
7,20,Ilsa
7,21,V├şt─Ťzslav
7,22,Magdal├ęna
7,23,Libor
7,24,Krist├Żna
7,25,Jakub
7,26,Anna
7,27,V─Ťroslav
7,28,Viktor
7,29,Marta
7,30,Bo┼Öivoj
7,31,Ign├íc
8,1,Oskar
8,2,Gustav
8,3,Milena
8,4,Dominik
8,5,Kristian
8,6,Old┼Öi┼íka
8,7,Lada
8,8,Sob─Ťslav
8,9,Romana
8,10,Vav┼Öinec
8,11,Zuzana
8,12,Kl├íra
8,13,Alena
8,14,Alan
8,15,Hana
8,16,J├íchym
8,17,Petra
8,18,Helena
8,19,Ludv├şk
8,20,Bernard
8,21,Johana
8,22,Bohuslav
8,23,Sandra
8,24,Bartolom─Ťj
8,25,Radim
8,26,Lud─Ťk
8,27,Olivie / Oliver
8,28,August├Żn
8,29,Evel├şna
8,30,Vlad─Ťna
8,31,Pavl├şna
9,1,Linda / Samuel
